subject,task,ent_rate
29,S 72,1.2566809533363326
30,REST,1.5339097219083917
30,S 21,1.256577703437657
30,S 22,1.3567299290976171
30,S 51,1.2325962479029828
30,S 52,1.2335639430468979
30,S 71,1.3742940956454461
30,S 72,1.2540555435111052
31,REST,1.4903279989653602
31,S 21,1.2632221975682036
31,S 22,1.3984793219450224
31,S 51,1.2666430564325326
31,S 52,1.2794108290422879
31,S 71,1.3717380657587688
31,S 72,1.2761650773772848
32,REST,1.3917872541790197
32,S 21,1.2473143845335992
32,S 22,1.3810354932207891
32,S 51,1.2759422897976014
32,S 52,1.295882965203099
32,S 71,1.3882013979525858
32,S 72,1.2524975963433302
33,REST,1.5525309425108582
33,S 21,1.2710955190229682
33,S 22,1.413789785382836
33,S 51,1.2539596737820748
33,S 52,1.261022309083017
33,S 71,1.4290257565343871
33,S 72,1.2769002235800728
34,REST,1.4549387269846386
34,S 21,1.206855915070928
34,S 22,1.3456229236828277
34,S 51,1.2735939610000817
34,S 52,1.2503337095149503
34,S 71,1.304894984446076
34,S 72,1.1831555878817466
35,REST,1.4960737303019973
35,S 21,1.3163557901224268
35,S 22,1.457520693818557
35,S 51,1.3019782434336056
35,S 52,1.3116539688767048
35,S 71,1.4662271137036729
35,S 72,1.3250487688015575
36,REST,1.5185067538223465
36,S 21,1.3004425710867729
36,S 22,1.45345673308807
36,S 51,1.3158623859807501
36,S 52,1.3138239116232053
36,S 71,1.429894095891848
36,S 72,1.3074597450639662
37,REST,1.38183558588881
37,S 21,1.2172230154546386
37,S 22,1.3409956053835128
37,S 51,1.2477498861487868
37,S 52,1.2390141079017643
37,S 71,1.3642509258842954
37,S 72,1.238106057096985
38,REST,1.4714036088617524
38,S 21,1.314085950447947
38,S 22,1.4372624924269604
38,S 51,1.2719266883846208
38,S 52,1.28923891550809
38,S 71,1.421857432213022
38,S 72,1.314579424673803
39,REST,1.5299686497702556
39,S 21,1.314296122332629
39,S 22,1.4389134605976417
39,S 51,1.3316585007174433
39,S 52,1.325837976768684
39,S 71,1.4646299306954422
39,S 72,1.3175637646175957
40,REST,1.411922525390935
40,S 21,1.209162939164653
40,S 22,1.3510231400530273
40,S 51,1.2329496216932028
40,S 52,1.240229931504881
40,S 71,1.3244267106808854
40,S 72,1.2245124658849322
41,REST,1.495225142794609
41,S 21,1.2429906100334365
41,S 22,1.3400706135033107
41,S 51,1.2299379989408405
41,S 52,1.22666962357438
41,S 71,1.345870120107857
41,S 72,1.199483415743709
42,REST,1.4640752883604817
42,S 21,1.2849787385976899
42,S 22,1.4154431523237794
42,S 51,1.2653691844034882
42,S 52,1.2853022676523267
42,S 71,1.4160253481623053
42,S 72,1.2882368485233435
43,REST,1.4321751910567835
43,S 21,1.338111948184208
43,S 22,1.470593383853938
43,S 51,1.3228432096694471
43,S 52,1.3267793046169014
43,S 71,1.465898251490729
43,S 72,1.3310591946433123
44,REST,1.5135417924649879
44,S 21,1.286927015813166
44,S 22,1.4264214614161308
44,S 51,1.2472173012252201
44,S 52,1.2689054734930925
44,S 71,1.4144602709388643
44,S 72,1.2691816573247294
