subject,task,ctrl,cong,cost,kl,rt
5,S 52,M,I,0.030190737322868137,0.01541004255401699,0.9365405405405405
5,S 71,L,C,0.02385685059863242,0.012192348586907448,0.8683835616438356
5,S 72,L,I,0.02510710599416112,0.01277655915113441,0.95392
6,S 21,H,C,0.023360780333833528,0.013066889975880059,0.84992
6,S 22,H,I,0.013022244182761059,0.007448301892543195,0.891433789954338
6,S 51,M,C,0.00457867739446186,0.002379139306575722,0.9047567567567568
6,S 52,M,I,0.008050534517056791,0.004111396808617633,1.0111351351351352
6,S 71,L,C,0.008112674718684734,0.004496159310326922,0.8572054794520547
6,S 72,L,I,0.010226966953468078,0.005802278040657673,1.0136533333333333
7,S 21,H,C,0.06660882560930358,0.04274935468134347,0.8483200000000001
7,S 22,H,I,0.060001533017504285,0.03819747991821071,0.8335707762557077
7,S 51,M,C,0.049997831437068097,0.03217977965921372,0.9203243243243244
7,S 52,M,I,0.054381138273297845,0.03468918927211839,0.952
7,S 71,L,C,0.036344171699739414,0.023051613954498743,0.8127488584474886
7,S 72,L,I,0.047846030086976556,0.03022337736267301,0.8737066666666667
8,S 21,H,C,0.03656847525257254,0.0212720382646462,0.95136
8,S 22,H,I,0.044174517556535474,0.025120002145101565,0.9536073059360731
8,S 51,M,C,0.029884791259173323,0.01764297080758329,0.9408648648648649
8,S 52,M,I,0.03759468932625208,0.021968888163421685,1.0448648648648649
8,S 71,L,C,0.034372365088555505,0.01943073309348896,0.9194885844748859
8,S 72,L,I,0.03403622517355082,0.019504964230075448,1.07968
9,S 21,H,C,0.006931394574274328,0.003284819838596763,1.1658666666666666
9,S 22,H,I,0.008572415600766672,0.004097353639684907,1.2062465753424658
9,S 51,M,C,0.008199981578669358,0.004169268288114088,1.1251891891891892
9,S 52,M,I,0.020131569396774213,0.00974587215960131,1.2087567567567568
9,S 71,L,C,0.006040827363202587,0.0026434851986899786,1.0627214611872147
9,S 72,L,I,0.012379200770819061,0.006019792042470686,1.1998933333333335
10,S 21,H,C,0.02987666009119823,0.01726653365522709,1.0529066666666667
10,S 22,H,I,0.02544309314617528,0.014492474073334892,1.0592511415525114
10,S 51,M,C,0.022720667741050575,0.013129789317367788,1.0287567567567566
10,S 52,M,I,0.028426681457744067,0.01616941530205137,1.119027027027027
10,S 71,L,C,0.021917420486874412,0.012575930138192581,0.9397260273972603
10,S 72,L,I,0.02183355506114333,0.012675572827574963,1.08448
11,S 21,H,C,0.03401611410339069,0.02230409156102772,0.8784
11,S 22,H,I,0.03463466064982955,0.022354487151684168,0.9396529680365298
11,S 51,M,C,0.03137868543909586,0.020121206993269046,0.8301621621621622
11,S 52,M,I,0.053326098716997186,0.03466369105575405,0.9387027027027027
11,S 71,L,C,0.034346939703365886,0.021465715495387037,0.8728036529680365
11,S 72,L,I,0.04369074041440038,0.027544942774982227,1.0625066666666667
12,S 21,H,C,0.07567668424410855,0.03583030009098125,1.0605866666666666
12,S 22,H,I,0.060512701253910735,0.028730739689228336,1.093150684931507
12,S 51,M,C,0.09648990254030106,0.04501440444091616,1.0563243243243243
12,S 52,M,I,0.05069561792271473,0.023370621380357264,1.126162162162162
12,S 71,L,C,0.04687359007623358,0.021784285898578958,1.0025205479452055
12,S 72,L,I,0.046357322705232254,0.021477685641666595,1.1070933333333333
13,S 21,H,C,0.010116769423206641,0.007001722166587211,0.7691733333333333
13,S 22,H,I,0.016548470436556533,0.011078561844671792,0.78213698630137
13,S 51,M,C,0.016234816467106915,0.011118598002567301,0.7596756756756756
13,S 52,M,I,0.014250413959311169,0.009542852284996677,0.7572972972972973
