subject,task,microstate,mean_corr,gev,timecov,meandurs,occurrences
4,S 51,2,0.5976776881701917,0.0007908112292295876,0.15464203233256352,0.07048421052631579,2.1939953810623556
4,S 51,3,0.6700089509408856,0.0025240579991127306,0.27445727482678983,0.08428368794326241,3.25635103926097
4,S 52,0,0.6529937805047117,0.0049519098612411,0.42024813215436285,0.11513615023474179,3.650010281719103
4,S 52,1,0.5928620186911651,0.0016368454758270722,0.23099595585715266,0.08927152317880795,2.5875659743642467
4,S 52,2,0.5688274923145101,0.0007999871960084708,0.13023510864349852,0.07378640776699028,1.7650284460895196
4,S 52,3,0.6613884376215748,0.002494336403973972,0.21852080334498594,0.08334640522875816,2.621838371375694
4,S 71,0,0.6648801351886281,0.008777885137102313,0.39599596608523513,0.11878991596638656,3.333582340417585
4,S 71,1,0.6017360528468106,0.001646248945286331,0.14615470810144549,0.07488995215311005,1.9515930228214993
4,S 71,2,0.5782224907390322,0.0016605702595906924,0.156538303514735,0.07014225941422596,2.2317259926044892
4,S 71,3,0.6752119251126565,0.00597390893871513,0.3013110222985844,0.0935304347826087,3.221529152504389
4,S 72,0,0.6568229587423168,0.004160013510086475,0.39170644391408116,0.1129462365591398,3.4680787589498805
4,S 72,1,0.5893178289325229,0.0013769650853087678,0.23978221957040574,0.08808219178082191,2.722255369928401
4,S 72,2,0.5476124262903229,0.0006098115567453584,0.11724343675417662,0.07959493670886073,1.4730011933174225
4,S 72,3,0.6641848329989904,0.0025665915587894544,0.2512678997613365,0.0923013698630137,2.722255369928401
5,REST,0,0.6568827068341452,0.011944658436825201,0.2972064777327935,0.11025281602002504,2.695681511470985
5,REST,1,0.6211585178041649,0.005214782969254107,0.19785425101214574,0.09323370429252784,2.122132253711201
5,REST,2,0.5883790915408972,0.004898481231436578,0.19012145748987855,0.09001916932907349,2.1120107962213224
5,REST,3,0.6698463710225638,0.01872420348655264,0.3148178137651822,0.11135083532219572,2.8272604588394064
5,S 21,0,0.680057581356759,0.0020441125062705162,0.2970904682527656,0.09681481481481483,3.0686467646613127
5,S 21,1,0.6592130707501324,0.0014285517482255463,0.23950598575541748,0.09297058823529411,2.5761479011971513
5,S 21,2,0.63940345448801,0.0009612063478264515,0.1619184724958327,0.0743304347826087,2.178360357629944
5,S 21,3,0.7147940460008871,0.0030351396459016022,0.30148507349598425,0.09947500000000001,3.0307622367025306
5,S 22,0,0.686549364791724,0.006533031074786274,0.28407992686430716,0.09561318681318683,2.9711375212224107
5,S 22,1,0.6637272177165927,0.0045570253277810256,0.24834791693874886,0.09208716707021793,2.696878673109573
5,S 22,2,0.6280406577496755,0.002552900597822751,0.1688650907666188,0.07956923076923077,2.1222410865874366
5,S 22,3,0.7071166012953947,0.007656091520405943,0.2987070654303252,0.09922776572668114,3.0103173566671018
5,S 51,0,0.6817529124595808,0.001886184073376766,0.2875588637399362,0.09770322580645162,2.9431869968099647
5,S 51,1,0.6635817863065364,0.0015932553899359733,0.27244417438857665,0.09694594594594594,2.810268874373386
5,S 51,2,0.6151386488908905,0.0007663742718849141,0.1762114537444934,0.08212389380530974,2.1456782621904904
5,S 51,3,0.7197129760394056,0.0022493067076775394,0.26378550812699375,0.09852482269503546,2.6773507519368067
5,S 52,0,0.6970723463227307,0.0026875119457865785,0.31106582125603865,0.11213605442176872,2.7740036231884058
5,S 52,1,0.6557158094413267,0.001487059742233285,0.25181159420289856,0.09531428571428571,2.6419082125603865
5,S 52,2,0.6347590027313382,0.0008978418286672933,0.1926328502415459,0.08436363636363636,2.2833635265700485
5,S 52,3,0.7081624145987833,0.002009160663378905,0.2444897342995169,0.09456934306569342,2.585295893719807
5,S 71,0,0.66762181586661,0.005154083862228858,0.25558965366067515,0.09235643564356436,2.767426567295046
5,S 71,1,0.6572918769486347,0.004342589268896556,0.271755808855765,0.09747420147420147,2.78797676457694
5,S 71,2,0.6335687942266838,0.0025164478942831885,0.17525208241999124,0.07945341614906833,2.2057211749232795
5,S 71,3,0.7207131298435935,0.0077131224866837204,0.2974024550635686,0.10096744186046512,2.94552827707146
5,S 72,0,0.6783573717330345,0.0021691899494968876,0.257563025210084,0.09311392405063292,2.7661064425770308
5,S 72,1,0.667265506550597,0.0019372647296275788,0.2647058823529412,0.10013245033112582,2.6435574229691876
5,S 72,2,0.6183301290342329,0.0009764345443069665,0.19019607843137254,0.08356923076923077,2.2759103641456586
5,S 72,3,0.7086639988139302,0.0027755703577659863,0.2875350140056022,0.10329559748427673,2.783613445378151
6,REST,0,0.625214108678287,0.012035472798852668,0.34710961794757883,0.1175229142185664,2.953548422923145
6,REST,1,0.5677562249698805,0.0024030942835905106,0.1308168591737006,0.0815844155844156,1.603454020435362
6,REST,2,0.5913505060109241,0.0074001287512279555,0.2908151932474456,0.10370297029702971,2.8043091959129276
6,REST,3,0.6392250817070815,0.007072106049506919,0.231258329631275,0.09478236130867711,2.4398878276321634
6,S 21,0,0.7006684570159923,0.0037514221362402607,0.3450345281157514,0.10299386503067484,3.350049325879645
6,S 21,1,0.6120866820284344,0.0005457811273413926,0.12109503452811575,0.07365000000000001,1.644195988161789
