subject,task,ent_rate
26,S 72,1.2443655098966702
27,REST,1.4706479749877468
27,S 21,1.249948725603251
27,S 22,1.3623964476345745
27,S 51,1.281347706310017
27,S 52,1.2772794135680086
27,S 71,1.3997157216816314
27,S 72,1.256762917753956
28,REST,1.469389189089398
28,S 21,1.193523315552406
28,S 22,1.3172137198956768
28,S 51,1.22072547518365
28,S 52,1.2194022713910424
28,S 71,1.3147296251982765
28,S 72,1.205857668874032
29,REST,1.409248939299818
29,S 21,1.2492186167415178
29,S 22,1.3800665069835492
29,S 51,1.2164967738634156
29,S 52,1.2159630255410805
29,S 71,1.316252724762371
29,S 72,1.2410044557291084
30,REST,1.459746315258681
30,S 21,1.241644121336328
30,S 22,1.3401243926771227
30,S 51,1.2245593318040606
30,S 52,1.2171296949625372
30,S 71,1.3540651754711424
30,S 72,1.2387448388224929
31,REST,1.4217449955141417
31,S 21,1.2589091465140656
31,S 22,1.3789638105044881
31,S 51,1.2539212270780835
31,S 52,1.2726922663201767
31,S 71,1.3494828463129145
31,S 72,1.256431318957792
32,REST,1.3289387943828344
32,S 21,1.2484361959108994
32,S 22,1.36593434814128
32,S 51,1.272076998412649
32,S 52,1.2832320651964653
32,S 71,1.3756700705554765
32,S 72,1.2435474494733907
33,REST,1.485433470060447
33,S 21,1.273333866800447
33,S 22,1.404164329744621
33,S 51,1.25850291666425
33,S 52,1.2587692259825367
33,S 71,1.4212907399318737
33,S 72,1.2683813150284093
34,REST,1.384619838816412
34,S 21,1.205029190725576
34,S 22,1.3145160620773835
34,S 51,1.2647270024837067
34,S 52,1.2355770007057285
34,S 71,1.278430293215543
34,S 72,1.1713979511354513
35,REST,1.4317006359378965
35,S 21,1.31287345547928
35,S 22,1.446298693146663
35,S 51,1.2997736941298303
35,S 52,1.3103852207393856
35,S 71,1.4539867081193942
35,S 72,1.321400813336017
36,REST,1.4478966780733207
36,S 21,1.29850362655779
36,S 22,1.4306863596658619
36,S 51,1.3110848769916326
36,S 52,1.3005445860647544
36,S 71,1.4148662991864742
36,S 72,1.2978002533322062
37,REST,1.3202494799450648
37,S 21,1.209773968464244
37,S 22,1.3222946804952562
37,S 51,1.2362976104071566
37,S 52,1.238149071536743
37,S 71,1.3465514745930292
37,S 72,1.2320818434137535
38,REST,1.4073129241513653
38,S 21,1.3057732618421194
38,S 22,1.4156719889933609
38,S 51,1.2524541006754744
38,S 52,1.271579532762043
38,S 71,1.3998258646043837
38,S 72,1.3079209335416553
39,REST,1.4553011242107265
39,S 21,1.3030860210499986
39,S 22,1.410829489432155
39,S 51,1.3191663045902906
39,S 52,1.3095869412695162
39,S 71,1.4432112049959789
39,S 72,1.3081595263064947
40,REST,1.34431970972846
40,S 21,1.1962986383589669
40,S 22,1.323919163878624
40,S 51,1.2193294429913797
40,S 52,1.2202886578348306
40,S 71,1.2996821053804613
40,S 72,1.200796868399389
41,REST,1.4285860136552648
41,S 21,1.2319003656205938
41,S 22,1.3145770375559573
41,S 51,1.2257929308085131
41,S 52,1.2120496416964839
41,S 71,1.320762792578885
41,S 72,1.1889756595704124
42,REST,1.4049313540044255
42,S 21,1.269914828903122
42,S 22,1.3919035213825435
42,S 51,1.2573115056041588
42,S 52,1.278413320979334
42,S 71,1.395213142398117
42,S 72,1.2786798188563633
43,REST,1.3479866202910011
43,S 21,1.3232864721042306
43,S 22,1.4501728102367868
43,S 51,1.3235527713247837
43,S 52,1.32014565938331
43,S 71,1.4484880972382987
43,S 72,1.3245059886598272
44,REST,1.4431133292131746
44,S 21,1.2772066164284326
44,S 22,1.4119120518966939
44,S 51,1.2433493408304623
44,S 52,1.2552320261574965
44,S 71,1.3955885423917502
44,S 72,1.264658429437908
