Subject,Cond,Int,State,Delta
6,I,L,E,0.03919488753385422
6,I,L,F,0.022670754830607792
6,I,L,G,-0.000500808016035359
6,I,L,H,-0.007071640934637399
6,I,L,I,-0.007391655554398982
7,C,H,A,-0.05648250061787809
7,C,H,B,-0.06252220538329564
7,C,H,C,0.049982544707170645
7,C,H,D,0.04277463816426978
7,C,H,E,-0.013462425745228157
7,C,H,F,0.04093789996728639
7,C,H,G,0.004513645062873439
7,C,H,H,-0.006170626937778229
7,C,H,I,0.00042903078257985894
7,C,M,A,-0.04081920541189664
7,C,M,B,-0.03955293400214943
7,C,M,C,0.03680757037150137
7,C,M,D,0.003129884522422119
7,C,M,E,0.02060719764080804
7,C,M,F,-0.003805615431068332
7,C,M,G,-0.005501688029735163
7,C,M,H,0.007856986749228745
7,C,M,I,0.021277803590889294
7,C,L,A,-0.05232982823954626
7,C,L,B,-0.045253790888020846
7,C,L,C,0.04382859846211301
7,C,L,D,0.025349153413944656
7,C,L,E,0.016759167419843832
7,C,L,F,0.0012436191652416828
7,C,L,G,0.003378718797646202
7,C,L,H,-0.005084020417835053
7,C,L,I,0.012108382286612748
7,I,H,A,-0.059584184159480386
7,I,H,B,-0.05869072594247922
7,I,H,C,0.032078049297669664
7,I,H,D,0.0773163123379824
7,I,H,E,-0.018786630202098323
7,I,H,F,0.027833031878791964
7,I,H,G,0.005192195506588282
7,I,H,H,-0.005672432946100703
7,I,H,I,0.00031438422912631603
7,I,M,A,-0.05065157118431258
7,I,M,B,-0.05316486615043774
7,I,M,C,0.02492368696586232
7,I,M,D,0.03989918251849438
7,I,M,E,-0.01631891920460178
7,I,M,F,0.016531038728596986
7,I,M,G,0.01340566823363716
7,I,M,H,0.014330566494828445
7,I,M,I,0.011045213597932799
7,I,L,A,-0.05845781576406035
7,I,L,B,-0.0506093256263952
7,I,L,C,0.030773365544576353
7,I,L,D,0.05497880007428736
7,I,L,E,-0.01054278844193629
7,I,L,F,0.009057402189343228
7,I,L,G,0.014901787473765249
7,I,L,H,0.0001597670324248457
7,I,L,I,0.009738807517994802
8,C,H,A,-0.037442640627842194
8,C,H,B,-0.0028925148785863275
8,C,H,C,0.0010364613942983048
8,C,H,D,0.02801416668038656
8,C,H,E,0.005674020448639391
8,C,H,F,0.01398725199800456
8,C,H,G,-0.007435360759237716
8,C,H,H,0.006335642257322749
8,C,H,I,-0.0072770265129853545
8,C,M,A,-0.018538039838919523
8,C,M,B,-0.01850296179060258
8,C,M,C,0.019126306655678077
8,C,M,D,-0.0009720916971774352
8,C,M,E,-0.009847843394778205
8,C,M,F,0.014731512099228114
8,C,M,G,0.0021270887388476073
8,C,M,H,0.006428283450791758
8,C,M,I,0.005447745776932189
8,C,L,A,-0.01245220287093897
8,C,L,B,-0.010749208995969733
8,C,L,C,0.003754789211532855
8,C,L,D,0.007182928835640187
8,C,L,E,-0.005319972254679478
8,C,L,F,0.009659629035046094
8,C,L,G,-0.0012186076469714036
8,C,L,H,0.005731758471036255
8,C,L,I,0.003410886215304193
8,I,H,A,-0.02790717578248335
8,I,H,B,-0.0208653796444324
8,I,H,C,0.010987056568697612
8,I,H,D,0.0005009279184279986
8,I,H,E,0.012271206096507392
8,I,H,F,0.01934651990661765
