,subj,K,GEV,silhouette,calinski-harabasz,dunn,davies_bouldin
151,17,9,0.7721816953833137,0.3439515206864969,2237.5463832244386,1.007265093145733e-06,1149282622650909.5
152,17,10,0.7804474608756515,0.32971029810323843,1536.8096467080027,9.491408841221741e-07,819413706172391.9
153,18,2,0.6596644673739648,0.5264901320545274,2008.8822220875297,2.1369708688461678e-10,5.0487763487910936e+16
154,18,3,0.7107489571729324,0.6816431903435235,5780.362019150958,2.7618653519771824e-09,2.1121434125254988e+16
155,18,4,0.7425866754494973,0.37233340051323843,5478.4935540912165,5.343065333474167e-09,8.63542734559391
156,18,5,0.7688865940904063,0.37840815142437556,3234.6167760099584,1.674500225400673e-08,1664964279797216.8
157,18,6,0.7849238103870736,0.3260238078760853,3799.1233659480718,1.894986274493795e-08,3.7463222901419506
158,18,7,0.7984303730448482,0.30556953461149555,3263.8460263835345,3.013397255281406e-08,3605582298906160.0
159,18,8,0.8083419791396452,0.27753958844462323,2718.3453733091455,4.1984222371492986e-08,1822923820725342.2
160,18,9,0.8169172608952404,0.27270757952007374,2181.4854182785984,1.3285198375480842e-07,741364007386311.0
161,18,10,0.8230325055437275,0.23463345042369668,2146.1077423911493,3.444279144605921e-08,3222149175192534.0
162,19,2,0.683234632379577,0.5194642422976894,9728.754623443747,3.086501933577123e-10,3.912307006647529e+16
163,19,3,0.7323855066491982,0.6973307262694093,1945.7317124315073,6.538329531370576e-09,7837568897324592.0
164,19,4,0.759332957061916,0.5614701112394355,4961.935536493429,9.018351964401002e-09,2742047761299407.5
165,19,5,0.784538165779616,0.3737053564662754,4887.771521406939,6.428589883615367e-10,11.268291055176308
166,19,6,0.7984640689758024,0.25223398233576166,3492.785157385138,7.893758669398674e-10,8985218875989264.0
167,19,7,0.8113650023534021,0.29096968715085303,2655.7995408677007,5.0378060376689636e-08,2028392106348512.5
168,19,8,0.8214285656481215,0.2671734366102422,3066.582378092467,1.46144599616315e-08,1144382516729467.8
169,19,9,0.829188157091258,0.2774940006655893,2621.2744851118964,8.203520214987599e-08,2644330616668881.5
170,19,10,0.8351633528830835,0.23856231117742277,2651.280380380318,7.272670362041908e-08,727586761437148.8
171,20,2,0.6297321133381414,0.6166850721271541,6734.86659469914,3.01714218334155e-11,27.018767000121414
172,20,3,0.6842893256229549,0.48668423436614094,4494.741659907774,1.3307175162280759e-09,1.1759335811387928e+16
173,20,4,0.7245465849310186,0.5739386963921547,2344.829314318727,6.079466550970983e-09,4.070876819585927
174,20,5,0.7489491367511136,0.482996527727791,2838.270483460605,2.4375156115223773e-08,2.6434403527225903
175,20,6,0.768522859065906,0.344075341688041,3365.174030107449,2.359774350780633e-08,2921026493568345.5
176,20,7,0.784001695200566,0.35850450665539313,1995.8328244044835,8.875635117681172e-08,2.402544645149979
177,20,8,0.7950588988282733,0.3243886527196619,2097.0749908403172,2.54902819683331e-09,444726525511687.3
178,20,9,0.8041469423527379,0.31630155424103207,2522.630010038755,2.599594911450431e-09,873899836356765.5
179,20,10,0.8114338475560875,0.2763044739847895,2224.6375345669207,2.5580506141536034e-09,1374035153698901.2
180,21,2,0.6932712012859875,0.6668110023331087,3083.3932482616174,2.9159758334822237e-10,15.671154437415096
181,21,3,0.7407716665264188,0.41834060038773,5886.558095020597,4.3757333717821735e-09,1.9552770719712332e+16
182,21,4,0.7663522374768889,0.48224450676620856,5323.899837933123,1.1263959597487546e-08,5028218805785467.0
183,21,5,0.7869154686944209,0.3952583604259052,1961.6801325327185,2.5789247081576853e-08,2696545179866338.5
184,21,6,0.8002935574693183,0.29954864579464346,3155.9794950744194,2.4537581621739842e-08,2670889250420457.0
185,21,7,0.8113166438470368,0.2523736686223974,3454.581047184786,5.3701968680229856e-08,3930557555088008.5
186,21,8,0.82016369173923,0.2731185828323081,3235.045092016368,6.8642662299034e-08,2040834882037574.0
